id,date,season,year,month,holiday,weekday,workingday,weather,atemp,casual,registered,count
247,2011-09-04,fall,2011,September,not holiday,sunday,restday,clear & partly cloudy,0.665429,2521,2419,4940
248,2011-09-05,fall,2011,September,holiday,monday,restday,mist & cloudy,0.625646,1236,2115,3351
249,2011-09-06,fall,2011,September,not holiday,tuesday,workday,light snow & light rain,0.5152,204,2506,2710
250,2011-09-07,fall,2011,September,not holiday,wednesday,workday,light snow & light rain,0.544229,118,1878,1996
251,2011-09-08,fall,2011,September,not holiday,thursday,workday,light snow & light rain,0.555361,153,1689,1842
252,2011-09-09,fall,2011,September,not holiday,friday,workday,mist & cloudy,0.578946,417,3127,3544
253,2011-09-10,fall,2011,September,not holiday,saturday,restday,clear & partly cloudy,0.607962,1750,3595,5345
254,2011-09-11,fall,2011,September,not holiday,sunday,restday,clear & partly cloudy,0.609229,1633,3413,5046
255,2011-09-12,fall,2011,September,not holiday,monday,workday,clear & partly cloudy,0.60213,690,4023,4713
256,2011-09-13,fall,2011,September,not holiday,tuesday,workday,clear & partly cloudy,0.603554,701,4062,4763
257,2011-09-14,fall,2011,September,not holiday,wednesday,workday,clear & partly cloudy,0.6269,647,4138,4785
258,2011-09-15,fall,2011,September,not holiday,thursday,workday,mist & cloudy,0.553671,428,3231,3659
259,2011-09-16,fall,2011,September,not holiday,friday,workday,mist & cloudy,0.461475,742,4018,4760
260,2011-09-17,fall,2011,September,not holiday,saturday,restday,mist & cloudy,0.478512,1434,3077,4511
261,2011-09-18,fall,2011,September,not holiday,sunday,restday,clear & partly cloudy,0.490537,1353,2921,4274
262,2011-09-19,fall,2011,September,not holiday,monday,workday,mist & cloudy,0.529675,691,3848,4539
263,2011-09-20,fall,2011,September,not holiday,tuesday,workday,mist & cloudy,0.532217,438,3203,3641
264,2011-09-21,fall,2011,September,not holiday,wednesday,workday,mist & cloudy,0.550533,539,3813,4352
265,2011-09-22,fall,2011,September,not holiday,thursday,workday,mist & cloudy,0.554963,555,4240,4795
266,2011-09-23,winter,2011,September,not holiday,friday,workday,mist & cloudy,0.522125,258,2137,2395
267,2011-09-24,winter,2011,September,not holiday,saturday,restday,mist & cloudy,0.564412,1776,3647,5423
268,2011-09-25,winter,2011,September,not holiday,sunday,restday,mist & cloudy,0.572637,1544,3466,5010
269,2011-09-26,winter,2011,September,not holiday,monday,workday,mist & cloudy,0.589042,684,3946,4630
270,2011-09-27,winter,2011,September,not holiday,tuesday,workday,mist & cloudy,0.574525,477,3643,4120
271,2011-09-28,winter,2011,September,not holiday,wednesday,workday,mist & cloudy,0.575158,480,3427,3907
272,2011-09-29,winter,2011,September,not holiday,thursday,workday,clear & partly cloudy,0.574512,653,4186,4839
273,2011-09-30,winter,2011,September,not holiday,friday,workday,clear & partly cloudy,0.544829,830,4372,5202
274,2011-10-01,winter,2011,Oktober,not holiday,saturday,restday,mist & cloudy,0.412863,480,1949,2429
275,2011-10-02,winter,2011,Oktober,not holiday,sunday,restday,mist & cloudy,0.345317,616,2302,2918
276,2011-10-03,winter,2011,Oktober,not holiday,monday,workday,mist & cloudy,0.392046,330,3240,3570
277,2011-10-04,winter,2011,Oktober,not holiday,tuesday,workday,clear & partly cloudy,0.472858,486,3970,4456
278,2011-10-05,winter,2011,Oktober,not holiday,wednesday,workday,clear & partly cloudy,0.527138,559,4267,4826
279,2011-10-06,winter,2011,Oktober,not holiday,thursday,workday,clear & partly cloudy,0.480425,639,4126,4765
280,2011-10-07,winter,2011,Oktober,not holiday,friday,workday,clear & partly cloudy,0.504404,949,4036,4985
281,2011-10-08,winter,2011,Oktober,not holiday,saturday,restday,clear & partly cloudy,0.513242,2235,3174,5409
282,2011-10-09,winter,2011,Oktober,not holiday,sunday,restday,clear & partly cloudy,0.523983,2397,3114,5511
283,2011-10-10,winter,2011,Oktober,holiday,monday,restday,clear & partly cloudy,0.542925,1514,3603,5117
284,2011-10-11,winter,2011,Oktober,not holiday,tuesday,workday,mist & cloudy,0.546096,667,3896,4563
285,2011-10-12,winter,2011,Oktober,not holiday,wednesday,workday,light snow & light rain,0.517717,217,2199,2416
286,2011-10-13,winter,2011,Oktober,not holiday,thursday,workday,mist & cloudy,0.551804,290,2623,2913
287,2011-10-14,winter,2011,Oktober,not holiday,friday,workday,mist & cloudy,0.529675,529,3115,3644
288,2011-10-15,winter,2011,Oktober,not holiday,saturday,restday,clear & partly cloudy,0.498725,1899,3318,5217
289,2011-10-16,winter,2011,Oktober,not holiday,sunday,restday,clear & partly cloudy,0.503154,1748,3293,5041
290,2011-10-17,winter,2011,Oktober,not holiday,monday,workday,clear & partly cloudy,0.510725,713,3857,4570
291,2011-10-18,winter,2011,Oktober,not holiday,tuesday,workday,mist & cloudy,0.522721,637,4111,4748
292,2011-10-19,winter,2011,Oktober,not holiday,wednesday,workday,light snow & light rain,0.513848,254,2170,2424
293,2011-10-20,winter,2011,Oktober,not holiday,thursday,workday,clear & partly cloudy,0.466525,471,3724,4195
294,2011-10-21,winter,2011,Oktober,not holiday,friday,workday,clear & partly cloudy,0.423596,676,3628,4304
295,2011-10-22,winter,2011,Oktober,not holiday,saturday,restday,clear & partly cloudy,0.425492,1499,2809,4308
296,2011-10-23,winter,2011,Oktober,not holiday,sunday,restday,clear & partly cloudy,0.422333,1619,2762,4381
297,2011-10-24,winter,2011,Oktober,not holiday,monday,workday,clear & partly cloudy,0.457067,699,3488,4187
298,2011-10-25,winter,2011,Oktober,not holiday,tuesday,workday,clear & partly cloudy,0.463375,695,3992,4687
299,2011-10-26,winter,2011,Oktober,not holiday,wednesday,workday,mist & cloudy,0.472846,404,3490,3894
300,2011-10-27,winter,2011,Oktober,not holiday,thursday,workday,mist & cloudy,0.457046,240,2419,2659
301,2011-10-28,winter,2011,Oktober,not holiday,friday,workday,mist & cloudy,0.318812,456,3291,3747
302,2011-10-29,winter,2011,Oktober,not holiday,saturday,restday,light snow & light rain,0.227913,57,570,627
303,2011-10-30,winter,2011,Oktober,not holiday,sunday,restday,clear & partly cloudy,0.321329,885,2446,3331
304,2011-10-31,winter,2011,Oktober,not holiday,monday,workday,clear & partly cloudy,0.356063,362,3307,3669
305,2011-11-01,winter,2011,November,not holiday,tuesday,workday,clear & partly cloudy,0.397088,410,3658,4068
306,2011-11-02,winter,2011,November,not holiday,wednesday,workday,clear & partly cloudy,0.390133,370,3816,4186
307,2011-11-03,winter,2011,November,not holiday,thursday,workday,clear & partly cloudy,0.405921,318,3656,3974
308,2011-11-04,winter,2011,November,not holiday,friday,workday,mist & cloudy,0.403392,470,3576,4046
309,2011-11-05,winter,2011,November,not holiday,saturday,restday,clear & partly cloudy,0.323854,1156,2770,3926
310,2011-11-06,winter,2011,November,not holiday,sunday,restday,clear & partly cloudy,0.362358,952,2697,3649
311,2011-11-07,winter,2011,November,not holiday,monday,workday,clear & partly cloudy,0.400871,373,3662,4035
312,2011-11-08,winter,2011,November,not holiday,tuesday,workday,clear & partly cloudy,0.412246,376,3829,4205
313,2011-11-09,winter,2011,November,not holiday,wednesday,workday,clear & partly cloudy,0.409079,305,3804,4109
314,2011-11-10,winter,2011,November,not holiday,thursday,workday,mist & cloudy,0.373721,190,2743,2933
315,2011-11-11,winter,2011,November,holiday,friday,restday,clear & partly cloudy,0.306817,440,2928,3368
316,2011-11-12,winter,2011,November,not holiday,saturday,restday,clear & partly cloudy,0.357942,1275,2792,4067
317,2011-11-13,winter,2011,November,not holiday,sunday,restday,clear & partly cloudy,0.43055,1004,2713,3717
318,2011-11-14,winter,2011,November,not holiday,monday,workday,clear & partly cloudy,0.524612,595,3891,4486
319,2011-11-15,winter,2011,November,not holiday,tuesday,workday,mist & cloudy,0.507579,449,3746,4195
320,2011-11-16,winter,2011,November,not holiday,wednesday,workday,light snow & light rain,0.451988,145,1672,1817
321,2011-11-17,winter,2011,November,not holiday,thursday,workday,mist & cloudy,0.323221,139,2914,3053
322,2011-11-18,winter,2011,November,not holiday,friday,workday,clear & partly cloudy,0.272721,245,3147,3392
323,2011-11-19,winter,2011,November,not holiday,saturday,restday,clear & partly cloudy,0.324483,943,2720,3663
324,2011-11-20,winter,2011,November,not holiday,sunday,restday,mist & cloudy,0.457058,787,2733,3520
325,2011-11-21,winter,2011,November,not holiday,monday,workday,light snow & light rain,0.445062,220,2545,2765
326,2011-11-22,winter,2011,November,not holiday,tuesday,workday,light snow & light rain,0.421696,69,1538,1607
327,2011-11-23,winter,2011,November,not holiday,wednesday,workday,mist & cloudy,0.430537,112,2454,2566
328,2011-11-24,winter,2011,November,holiday,thursday,restday,clear & partly cloudy,0.372471,560,935,1495
329,2011-11-25,winter,2011,November,not holiday,friday,workday,clear & partly cloudy,0.380671,1095,1697,2792
330,2011-11-26,winter,2011,November,not holiday,saturday,restday,clear & partly cloudy,0.385087,1249,1819,3068
331,2011-11-27,winter,2011,November,not holiday,sunday,restday,clear & partly cloudy,0.4558,810,2261,3071
332,2011-11-28,winter,2011,November,not holiday,monday,workday,clear & partly cloudy,0.490122,253,3614,3867
333,2011-11-29,winter,2011,November,not holiday,tuesday,workday,mist & cloudy,0.451375,96,2818,2914
334,2011-11-30,winter,2011,November,not holiday,wednesday,workday,clear & partly cloudy,0.311221,188,3425,3613
335,2011-12-01,winter,2011,Desember,not holiday,thursday,workday,clear & partly cloudy,0.305554,182,3545,3727
336,2011-12-02,winter,2011,Desember,not holiday,friday,workday,clear & partly cloudy,0.331433,268,3672,3940
337,2011-12-03,winter,2011,Desember,not holiday,saturday,restday,clear & partly cloudy,0.310604,706,2908,3614
338,2011-12-04,winter,2011,Desember,not holiday,sunday,restday,clear & partly cloudy,0.3491,634,2851,3485
339,2011-12-05,winter,2011,Desember,not holiday,monday,workday,mist & cloudy,0.393925,233,3578,3811
340,2011-12-06,winter,2011,Desember,not holiday,tuesday,workday,light snow & light rain,0.4564,126,2468,2594
341,2011-12-07,winter,2011,Desember,not holiday,wednesday,workday,light snow & light rain,0.400246,50,655,705
342,2011-12-08,winter,2011,Desember,not holiday,thursday,workday,clear & partly cloudy,0.256938,150,3172,3322
343,2011-12-09,winter,2011,Desember,not holiday,friday,workday,clear & partly cloudy,0.317542,261,3359,3620
344,2011-12-10,winter,2011,Desember,not holiday,saturday,restday,clear & partly cloudy,0.266412,502,2688,3190
345,2011-12-11,winter,2011,Desember,not holiday,sunday,restday,clear & partly cloudy,0.253154,377,2366,2743
346,2011-12-12,winter,2011,Desember,not holiday,monday,workday,clear & partly cloudy,0.270196,143,3167,3310
347,2011-12-13,winter,2011,Desember,not holiday,tuesday,workday,clear & partly cloudy,0.301138,155,3368,3523
348,2011-12-14,winter,2011,Desember,not holiday,wednesday,workday,mist & cloudy,0.338362,178,3562,3740
349,2011-12-15,winter,2011,Desember,not holiday,thursday,workday,mist & cloudy,0.412237,181,3528,3709
350,2011-12-16,winter,2011,Desember,not holiday,friday,workday,mist & cloudy,0.359825,178,3399,3577
351,2011-12-17,winter,2011,Desember,not holiday,saturday,restday,mist & cloudy,0.249371,275,2464,2739
352,2011-12-18,winter,2011,Desember,not holiday,sunday,restday,clear & partly cloudy,0.245579,220,2211,2431
353,2011-12-19,winter,2011,Desember,not holiday,monday,workday,clear & partly cloudy,0.280933,260,3143,3403
354,2011-12-20,winter,2011,Desember,not holiday,tuesday,workday,mist & cloudy,0.396454,216,3534,3750
355,2011-12-21,springer,2011,Desember,not holiday,wednesday,workday,mist & cloudy,0.428017,107,2553,2660
356,2011-12-22,springer,2011,Desember,not holiday,thursday,workday,mist & cloudy,0.426121,227,2841,3068
357,2011-12-23,springer,2011,Desember,not holiday,friday,workday,clear & partly cloudy,0.377513,163,2046,2209
358,2011-12-24,springer,2011,Desember,not holiday,saturday,restday,clear & partly cloudy,0.299242,155,856,1011
359,2011-12-25,springer,2011,Desember,not holiday,sunday,restday,clear & partly cloudy,0.279961,303,451,754
360,2011-12-26,springer,2011,Desember,holiday,monday,restday,clear & partly cloudy,0.315535,430,887,1317
361,2011-12-27,springer,2011,Desember,not holiday,tuesday,workday,mist & cloudy,0.327633,103,1059,1162
362,2011-12-28,springer,2011,Desember,not holiday,wednesday,workday,clear & partly cloudy,0.279974,255,2047,2302
363,2011-12-29,springer,2011,Desember,not holiday,thursday,workday,clear & partly cloudy,0.263892,254,2169,2423
364,2011-12-30,springer,2011,Desember,not holiday,friday,workday,clear & partly cloudy,0.318812,491,2508,2999
365,2011-12-31,springer,2011,Desember,not holiday,saturday,restday,clear & partly cloudy,0.414121,665,1820,2485
366,2012-01-01,springer,2012,Januari,not holiday,sunday,restday,clear & partly cloudy,0.375621,686,1608,2294
367,2012-01-02,springer,2012,Januari,holiday,monday,restday,clear & partly cloudy,0.252304,244,1707,1951
368,2012-01-03,springer,2012,Januari,not holiday,tuesday,workday,clear & partly cloudy,0.126275,89,2147,2236
369,2012-01-04,springer,2012,Januari,not holiday,wednesday,workday,mist & cloudy,0.119337,95,2273,2368
370,2012-01-05,springer,2012,Januari,not holiday,thursday,workday,clear & partly cloudy,0.278412,140,3132,3272
371,2012-01-06,springer,2012,Januari,not holiday,friday,workday,clear & partly cloudy,0.340267,307,3791,4098
372,2012-01-07,springer,2012,Januari,not holiday,saturday,restday,clear & partly cloudy,0.390779,1070,3451,4521
373,2012-01-08,springer,2012,Januari,not holiday,sunday,restday,clear & partly cloudy,0.340258,599,2826,3425
374,2012-01-09,springer,2012,Januari,not holiday,monday,workday,mist & cloudy,0.247479,106,2270,2376
375,2012-01-10,springer,2012,Januari,not holiday,tuesday,workday,clear & partly cloudy,0.318826,173,3425,3598
376,2012-01-11,springer,2012,Januari,not holiday,wednesday,workday,mist & cloudy,0.282821,92,2085,2177
377,2012-01-12,springer,2012,Januari,not holiday,thursday,workday,mist & cloudy,0.381938,269,3828,4097
378,2012-01-13,springer,2012,Januari,not holiday,friday,workday,clear & partly cloudy,0.249362,174,3040,3214
379,2012-01-14,springer,2012,Januari,not holiday,saturday,restday,clear & partly cloudy,0.183087,333,2160,2493
380,2012-01-15,springer,2012,Januari,not holiday,sunday,restday,clear & partly cloudy,0.161625,284,2027,2311
381,2012-01-16,springer,2012,Januari,holiday,monday,restday,clear & partly cloudy,0.190663,217,2081,2298
382,2012-01-17,springer,2012,Januari,not holiday,tuesday,workday,mist & cloudy,0.364278,127,2808,2935
383,2012-01-18,springer,2012,Januari,not holiday,wednesday,workday,clear & partly cloudy,0.275254,109,3267,3376
384,2012-01-19,springer,2012,Januari,not holiday,thursday,workday,clear & partly cloudy,0.190038,130,3162,3292
385,2012-01-20,springer,2012,Januari,not holiday,friday,workday,mist & cloudy,0.220958,115,3048,3163
386,2012-01-21,springer,2012,Januari,not holiday,saturday,restday,mist & cloudy,0.174875,67,1234,1301
387,2012-01-22,springer,2012,Januari,not holiday,sunday,restday,mist & cloudy,0.16225,196,1781,1977
388,2012-01-23,springer,2012,Januari,not holiday,monday,workday,mist & cloudy,0.243058,145,2287,2432
389,2012-01-24,springer,2012,Januari,not holiday,tuesday,workday,clear & partly cloudy,0.349108,439,3900,4339
390,2012-01-25,springer,2012,Januari,not holiday,wednesday,workday,clear & partly cloudy,0.294821,467,3803,4270
391,2012-01-26,springer,2012,Januari,not holiday,thursday,workday,mist & cloudy,0.35605,244,3831,4075
392,2012-01-27,springer,2012,Januari,not holiday,friday,workday,mist & cloudy,0.415383,269,3187,3456
393,2012-01-28,springer,2012,Januari,not holiday,saturday,restday,clear & partly cloudy,0.326379,775,3248,4023
394,2012-01-29,springer,2012,Januari,not holiday,sunday,restday,clear & partly cloudy,0.272721,558,2685,3243
395,2012-01-30,springer,2012,Januari,not holiday,monday,workday,clear & partly cloudy,0.262625,126,3498,3624
396,2012-01-31,springer,2012,Januari,not holiday,tuesday,workday,clear & partly cloudy,0.381317,324,4185,4509
397,2012-02-01,springer,2012,Februari,not holiday,wednesday,workday,clear & partly cloudy,0.466538,304,4275,4579
398,2012-02-02,springer,2012,Februari,not holiday,thursday,workday,mist & cloudy,0.398971,190,3571,3761
399,2012-02-03,springer,2012,Februari,not holiday,friday,workday,clear & partly cloudy,0.309346,310,3841,4151
400,2012-02-04,springer,2012,Februari,not holiday,saturday,restday,mist & cloudy,0.272725,384,2448,2832
401,2012-02-05,springer,2012,Februari,not holiday,sunday,restday,mist & cloudy,0.264521,318,2629,2947
402,2012-02-06,springer,2012,Februari,not holiday,monday,workday,clear & partly cloudy,0.296426,206,3578,3784
403,2012-02-07,springer,2012,Februari,not holiday,tuesday,workday,clear & partly cloudy,0.361104,199,4176,4375
404,2012-02-08,springer,2012,Februari,not holiday,wednesday,workday,mist & cloudy,0.266421,109,2693,2802
405,2012-02-09,springer,2012,Februari,not holiday,thursday,workday,clear & partly cloudy,0.261988,163,3667,3830
406,2012-02-10,springer,2012,Februari,not holiday,friday,workday,mist & cloudy,0.293558,227,3604,3831
407,2012-02-11,springer,2012,Februari,not holiday,saturday,restday,light snow & light rain,0.210867,192,1977,2169
408,2012-02-12,springer,2012,Februari,not holiday,sunday,restday,clear & partly cloudy,0.101658,73,1456,1529
409,2012-02-13,springer,2012,Februari,not holiday,monday,workday,clear & partly cloudy,0.227913,94,3328,3422
410,2012-02-14,springer,2012,Februari,not holiday,tuesday,workday,mist & cloudy,0.333946,135,3787,3922
411,2012-02-15,springer,2012,Februari,not holiday,wednesday,workday,clear & partly cloudy,0.351629,141,4028,4169
412,2012-02-16,springer,2012,Februari,not holiday,thursday,workday,mist & cloudy,0.330162,74,2931,3005
413,2012-02-17,springer,2012,Februari,not holiday,friday,workday,clear & partly cloudy,0.351629,349,3805,4154
414,2012-02-18,springer,2012,Februari,not holiday,saturday,restday,clear & partly cloudy,0.355425,1435,2883,4318
415,2012-02-19,springer,2012,Februari,not holiday,sunday,restday,mist & cloudy,0.265788,618,2071,2689
416,2012-02-20,springer,2012,Februari,holiday,monday,restday,clear & partly cloudy,0.273391,502,2627,3129
417,2012-02-21,springer,2012,Februari,not holiday,tuesday,workday,clear & partly cloudy,0.295113,163,3614,3777
418,2012-02-22,springer,2012,Februari,not holiday,wednesday,workday,clear & partly cloudy,0.392667,394,4379,4773
419,2012-02-23,springer,2012,Februari,not holiday,thursday,workday,clear & partly cloudy,0.444446,516,4546,5062
420,2012-02-24,springer,2012,Februari,not holiday,friday,workday,mist & cloudy,0.410971,246,3241,3487
421,2012-02-25,springer,2012,Februari,not holiday,saturday,restday,clear & partly cloudy,0.255675,317,2415,2732
422,2012-02-26,springer,2012,Februari,not holiday,sunday,restday,clear & partly cloudy,0.268308,515,2874,3389
423,2012-02-27,springer,2012,Februari,not holiday,monday,workday,clear & partly cloudy,0.357954,253,4069,4322
424,2012-02-28,springer,2012,Februari,not holiday,tuesday,workday,clear & partly cloudy,0.353525,229,4134,4363
425,2012-02-29,springer,2012,Februari,not holiday,wednesday,workday,mist & cloudy,0.34847,65,1769,1834
426,2012-03-01,springer,2012,Maret,not holiday,thursday,workday,clear & partly cloudy,0.475371,325,4665,4990
427,2012-03-02,springer,2012,Maret,not holiday,friday,workday,mist & cloudy,0.359842,246,2948,3194
428,2012-03-03,springer,2012,Maret,not holiday,saturday,restday,mist & cloudy,0.413492,956,3110,4066
429,2012-03-04,springer,2012,Maret,not holiday,sunday,restday,clear & partly cloudy,0.303021,710,2713,3423
430,2012-03-05,springer,2012,Maret,not holiday,monday,workday,clear & partly cloudy,0.241171,203,3130,3333
431,2012-03-06,springer,2012,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.255042,221,3735,3956
432,2012-03-07,springer,2012,Maret,not holiday,wednesday,workday,clear & partly cloudy,0.3851,432,4484,4916
433,2012-03-08,springer,2012,Maret,not holiday,thursday,workday,clear & partly cloudy,0.524604,486,4896,5382
434,2012-03-09,springer,2012,Maret,not holiday,friday,workday,mist & cloudy,0.397083,447,4122,4569
435,2012-03-10,springer,2012,Maret,not holiday,saturday,restday,clear & partly cloudy,0.277767,968,3150,4118
436,2012-03-11,springer,2012,Maret,not holiday,sunday,restday,clear & partly cloudy,0.35967,1658,3253,4911
437,2012-03-12,springer,2012,Maret,not holiday,monday,workday,clear & partly cloudy,0.459592,838,4460,5298
438,2012-03-13,springer,2012,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.542929,762,5085,5847
439,2012-03-14,springer,2012,Maret,not holiday,wednesday,workday,clear & partly cloudy,0.548617,997,5315,6312
440,2012-03-15,springer,2012,Maret,not holiday,thursday,workday,clear & partly cloudy,0.532825,1005,5187,6192
441,2012-03-16,springer,2012,Maret,not holiday,friday,workday,mist & cloudy,0.436229,548,3830,4378
442,2012-03-17,springer,2012,Maret,not holiday,saturday,restday,mist & cloudy,0.505046,3155,4681,7836
443,2012-03-18,springer,2012,Maret,not holiday,sunday,restday,mist & cloudy,0.464,2207,3685,5892
444,2012-03-19,springer,2012,Maret,not holiday,monday,workday,clear & partly cloudy,0.532821,982,5171,6153
445,2012-03-20,springer,2012,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.538533,1051,5042,6093
446,2012-03-21,summer,2012,Maret,not holiday,wednesday,workday,mist & cloudy,0.513258,1122,5108,6230
447,2012-03-22,summer,2012,Maret,not holiday,thursday,workday,clear & partly cloudy,0.531567,1334,5537,6871
448,2012-03-23,summer,2012,Maret,not holiday,friday,workday,mist & cloudy,0.570067,2469,5893,8362
449,2012-03-24,summer,2012,Maret,not holiday,saturday,restday,mist & cloudy,0.486733,1033,2339,3372
450,2012-03-25,summer,2012,Maret,not holiday,sunday,restday,mist & cloudy,0.437488,1532,3464,4996
451,2012-03-26,summer,2012,Maret,not holiday,monday,workday,clear & partly cloudy,0.43875,795,4763,5558
452,2012-03-27,summer,2012,Maret,not holiday,tuesday,workday,clear & partly cloudy,0.315654,531,4571,5102
453,2012-03-28,summer,2012,Maret,not holiday,wednesday,workday,clear & partly cloudy,0.47095,674,5024,5698
454,2012-03-29,summer,2012,Maret,not holiday,thursday,workday,clear & partly cloudy,0.482304,834,5299,6133
455,2012-03-30,summer,2012,Maret,not holiday,friday,workday,mist & cloudy,0.375621,796,4663,5459
456,2012-03-31,summer,2012,Maret,not holiday,saturday,restday,mist & cloudy,0.421708,2301,3934,6235
457,2012-04-01,summer,2012,April,not holiday,sunday,restday,mist & cloudy,0.417287,2347,3694,6041
458,2012-04-02,summer,2012,April,not holiday,monday,workday,clear & partly cloudy,0.427513,1208,4728,5936
459,2012-04-03,summer,2012,April,not holiday,tuesday,workday,clear & partly cloudy,0.461483,1348,5424,6772
460,2012-04-04,summer,2012,April,not holiday,wednesday,workday,clear & partly cloudy,0.53345,1058,5378,6436
461,2012-04-05,summer,2012,April,not holiday,thursday,workday,clear & partly cloudy,0.431163,1192,5265,6457
462,2012-04-06,summer,2012,April,not holiday,friday,workday,clear & partly cloudy,0.390767,1807,4653,6460
463,2012-04-07,summer,2012,April,not holiday,saturday,restday,clear & partly cloudy,0.426129,3252,3605,6857
464,2012-04-08,summer,2012,April,not holiday,sunday,restday,clear & partly cloudy,0.492425,2230,2939,5169
465,2012-04-09,summer,2012,April,not holiday,monday,workday,clear & partly cloudy,0.476638,905,4680,5585
466,2012-04-10,summer,2012,April,not holiday,tuesday,workday,clear & partly cloudy,0.436233,819,5099,5918
467,2012-04-11,summer,2012,April,not holiday,wednesday,workday,clear & partly cloudy,0.337274,482,4380,4862
468,2012-04-12,summer,2012,April,not holiday,thursday,workday,clear & partly cloudy,0.387604,663,4746,5409
469,2012-04-13,summer,2012,April,not holiday,friday,workday,clear & partly cloudy,0.431808,1252,5146,6398
470,2012-04-14,summer,2012,April,not holiday,saturday,restday,clear & partly cloudy,0.487996,2795,4665,7460
471,2012-04-15,summer,2012,April,not holiday,sunday,restday,clear & partly cloudy,0.573875,2846,4286,7132
472,2012-04-16,summer,2012,April,holiday,monday,restday,clear & partly cloudy,0.614925,1198,5172,6370
473,2012-04-17,summer,2012,April,not holiday,tuesday,workday,clear & partly cloudy,0.598487,989,5702,6691
474,2012-04-18,summer,2012,April,not holiday,wednesday,workday,mist & cloudy,0.457038,347,4020,4367
475,2012-04-19,summer,2012,April,not holiday,thursday,workday,clear & partly cloudy,0.493046,846,5719,6565
476,2012-04-20,summer,2012,April,not holiday,friday,workday,clear & partly cloudy,0.515775,1340,5950,7290
477,2012-04-21,summer,2012,April,not holiday,saturday,restday,clear & partly cloudy,0.542921,2541,4083,6624
478,2012-04-22,summer,2012,April,not holiday,sunday,restday,light snow & light rain,0.389504,120,907,1027
479,2012-04-23,summer,2012,April,not holiday,monday,workday,mist & cloudy,0.301125,195,3019,3214
480,2012-04-24,summer,2012,April,not holiday,tuesday,workday,clear & partly cloudy,0.405283,518,5115,5633
481,2012-04-25,summer,2012,April,not holiday,wednesday,workday,clear & partly cloudy,0.470317,655,5541,6196
482,2012-04-26,summer,2012,April,not holiday,thursday,workday,mist & cloudy,0.483583,475,4551,5026
483,2012-04-27,summer,2012,April,not holiday,friday,workday,clear & partly cloudy,0.452637,1014,5219,6233
484,2012-04-28,summer,2012,April,not holiday,saturday,restday,mist & cloudy,0.377504,1120,3100,4220
485,2012-04-29,summer,2012,April,not holiday,sunday,restday,clear & partly cloudy,0.450121,2229,4075,6304
486,2012-04-30,summer,2012,April,not holiday,monday,workday,mist & cloudy,0.457696,665,4907,5572
